Title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Sr Data Scientist- Simulation,Search Advisers Services Guj,6-10 Yrs,Bangalore/Bengaluru(Marathahalli),25-30 Lacs PA,25-30 ,25,30 ,27.5,6-10 ,6,10 ,8.0
Sr Data Scientist- Simulation,Search Advisers Services Guj,5-10 Yrs,"Bangalore/ Bengaluru, Karnataka",16-22.5 Lacs PA,16-22.5 ,16,22.5 ,19.25,5-10 ,5,10 ,7.5
Senior Data Scientist,Aliqan Services,7-10 Yrs,Remote,25-40 Lacs PA,25-40 ,25,40 ,32.5,7-10 ,7,10 ,8.5
Sr. Data scientist,XA Group,5-10 Yrs,Remote,10-20 Lacs PA,10-20 ,10,20 ,15.0,5-10 ,5,10 ,7.5
Data Scientist Requirement/ Data Analytics / Data Science/core concept,M/S Hirelab,3-5 Yrs,"Gurgaon/ Gurugram, Haryana",30-35 Lacs PA,30-35 ,30,35 ,32.5,3-5 ,3,5 ,4.0
Data Scientist / ML Engineer - US MNC (analytics),Aspyra Hr Services,5-9 Yrs,"Temp. WFH - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-9 ,5,9 ,7.0
Lead Data Scientist,Pylon Management Consulting,2-5 Yrs,Remote,20-25 Lacs PA,20-25 ,20,25 ,22.5,2-5 ,2,5 ,3.5
Data Scientist || Immediate Joiner,Sun Life,5-10 Yrs,"Gurgaon/ Gurugram, Haryana",20-30 Lacs PA,20-30 ,20,30 ,25.0,5-10 ,5,10 ,7.5
"Sr, Data Scientist ( Supply Chain Domain )",Think People Solutions,7-12 Yrs,Hybrid - Mumbai(Powai),27.5-40 Lacs PA,27.5-40 ,27.5,40 ,33.75,7-12 ,7,12 ,9.5
Data Scientist / ML Engineer - US MNC (analytics),Aspyra Hr Services,3-8 Yrs,"Hybrid - Noida, Uttar Pradesh, Gurgaon/ Gurugram, Haryana, Delhi / NCR",15-30 Lacs PA,15-30 ,15,30 ,22.5,3-8 ,3,8 ,5.5
Lead Data Scientist - Python,Planetskool,2-7 Yrs,"Sonipat/Sonepat, Delhi / NCR",6-12 Lacs PA,6-12 ,6,12 ,9.0,2-7 ,2,7 ,4.5
Manager Data Scientist,Vipsa Talent Solutions,8-12 Yrs,Bangalore/Bengaluru,25-30 Lacs PA,25-30 ,25,30 ,27.5,8-12 ,8,12 ,10.0
Junior Data Scientist,Satc Marketing India,2-7 Yrs,Remote,9-15 Lacs PA,9-15 ,9,15 ,12.0,2-7 ,2,7 ,4.5
Senior Data Engineer,Tata Consultancy Services (TCS),6-11 Yrs,"Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,6-11 ,6,11 ,8.5
Senior Data Engineer,Nexplace Info,4-8 Yrs,Bangalore/Bengaluru,1-2.25 Lacs PA,1-2.25 ,1,2.25 ,1.625,4-8 ,4,8 ,6.0
Senior Data Analyst,Nexplace Info,6-11 Yrs,Hybrid - Bangalore/Bengaluru,30-32.5 Lacs PA,30-32.5 ,30,32.5 ,31.25,6-11 ,6,11 ,8.5
Sr.Data Analyst Gcp,Nexplace Info,6-11 Yrs,Bangalore/Bengaluru,1-3 Lacs PA,1-3 ,1,3 ,2.0,6-11 ,6,11 ,8.5
Senior Azure Data Engineer,Tata Consultancy Services (TCS),6-8 Yrs,"Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,6-8 ,6,8 ,7.0
Big Data + Azure Data Factory Data Engineer,Hexaware Technologies,7-10 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",20-35 Lacs PA,20-35 ,20,35 ,27.5,7-10 ,7,10 ,8.5
"Hiring Machine Learning/Data Science Engineers - Tata Elxsi, Bangalore",Tata Elxsi,7-12 Yrs,Bangalore/Bengaluru,9-14 Lacs PA,9-14 ,9,14 ,11.5,7-12 ,7,12 ,9.5
Tech Data Analyst,Wipro,3-6 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",10-16 Lacs PA,10-16 ,10,16 ,13.0,3-6 ,3,6 ,4.5
Data Analyst,HARMAN,3-5 Yrs,Hybrid - Bangalore/Bengaluru,7-17 Lacs PA,7-17 ,7,17 ,12.0,3-5 ,3,5 ,4.0
Data Analyst,Sails Software Solutions,0-1 Yrs,"Visakhapatnam/ Vizag, Andhra Pradesh",2.5-3.5 Lacs PA,2.5-3.5 ,2.5,3.5 ,3.0,0-1 ,0,1 ,0.5
Senior Data Engineer,Nexplace Info,4-9 Yrs,Hybrid - Bangalore/Bengaluru,22.5-27.5 Lacs PA,22.5-27.5 ,22.5,27.5 ,25.0,4-9 ,4,9 ,6.5
Senior Data Engineer Aws,Nexplace Info,4-7 Yrs,Bangalore/Bengaluru,6-16 Lacs PA,6-16 ,6,16 ,11.0,4-7 ,4,7 ,5.5
Hiring For Data Engineer - Allen Digital,Careernet Technologies,4-6 Yrs,Bangalore/Bengaluru,10-20 Lacs PA,10-20 ,10,20 ,15.0,4-6 ,4,6 ,5.0
Data Engineer,Teamlease Digital,6-9 Yrs,"Bangalore/ Bengaluru, Karnataka",3.25-8.25 Lacs PA,3.25-8.25 ,3.25,8.25 ,5.75,6-9 ,6,9 ,7.5
Senior Data Analyst,Multi Recruit,5-10 Yrs,Bangalore/Bengaluru,30-37.5 Lacs PA,30-37.5 ,30,37.5 ,33.75,5-10 ,5,10 ,7.5
Data Analyst,Wonderla Holidays,3-6 Yrs,Bangalore/Bengaluru,2.25-4 Lacs PA,2.25-4 ,2.25,4 ,3.125,3-6 ,3,6 ,4.5
Data Analyst,Aranca,0-2 Yrs,Mumbai(Powai),50000-1.75 Lacs PA,0.5-1.75 ,0.5,1.75 ,1.125,0-2 ,0,2 ,1.0
Senior Cloud Data Engineer,Artech,5-10 Yrs,Remote,10-15 Lacs PA,10-15 ,10,15 ,12.5,5-10 ,5,10 ,7.5
Celonis Data Engineer,Tata Consultancy Services (TCS),2-7 Yrs,"Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Ahmedabad, Gujarat, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)",50000-2.75 Lacs PA,0.5-2.75 ,0.5,2.75 ,1.625,2-7 ,2,7 ,4.5
Data Engineer,G7 Cr Technologies,0-1 Yrs,Bangalore/Bengaluru,3-4 Lacs PA,3-4 ,3,4 ,3.5,0-1 ,0,1 ,0.5
Data Engineer - Python & SQl- Remoet,Team Plus Staffing Solution,2-4 Yrs,"Noida, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",7-10 Lacs PA,7-10 ,7,10 ,8.5,2-4 ,2,4 ,3.0
Data Engineer CET Time zone - remote,Team Plus Staffing Solution,3-8 Yrs,"Pune, Bangalore/Bengaluru, Delhi / NCR",10-15 Lacs PA,10-15 ,10,15 ,12.5,3-8 ,3,8 ,5.5
Wipro-Hiring-Data Engineers,Wipro,4-9 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/ Bengaluru, Karnataka",50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,4-9 ,4,9 ,6.5
Job Opportunity - Data Engineer@ Concentrix - Chennai / Hyderabad,Concentrix Catalyst,4-9 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",8-18 Lacs PA,8-18 ,8,18 ,13.0,4-9 ,4,9 ,6.5
Data Engineer(Hadoop),HARMAN,6-9 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",15-25 Lacs PA,15-25 ,15,25 ,20.0,6-9 ,6,9 ,7.5
Looking For Data Engineers fresher,Brains N Skills,0-1 Yrs,Bangalore/Bengaluru,1.5-2.75 Lacs PA,1.5-2.75 ,1.5,2.75 ,2.125,0-1 ,0,1 ,0.5
Data Engineer,DEFTeam,0-1 Yrs,"Hyderabad/ Secunderabad, Telangana(Begumpet)",3.5-4 Lacs PA,3.5-4 ,3.5,4 ,3.75,0-1 ,0,1 ,0.5
Data Analyst,Artech,5-8 Yrs,"Bangalore/ Bengaluru, Karnataka",7-17 Lacs PA,7-17 ,7,17 ,12.0,5-8 ,5,8 ,6.5
NTT DATA Hiring - Provider Data Analyst - Chennai & Coimbatore,NTT DATA Business Solutions Private Limited,5-8 Yrs,"Hybrid - Chennai, Tamil Nadu, Coimbatore, Tamil Nadu",4.75-5.5 Lacs PA,4.75-5.5 ,4.75,5.5 ,5.125,5-8 ,5,8 ,6.5
Data Analyst,M K Management Services,0-0 Yrs,Pune(Viman Nagar),3.25-3.5 Lacs PA,3.25-3.5 ,3.25,3.5 ,3.375,0-0 ,0,0 ,0.0
Data Engineer-Team Lead/Sr. Team Lead/ PM,Hissar IT,8-12 Yrs,"Hybrid - Kochi/ Cochin, Kerala, Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Trivandrum/ Thiruvananthapuram, Kerala",15-30 Lacs PA,15-30 ,15,30 ,22.5,8-12 ,8,12 ,10.0
