Title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
Data Analyst,Sitics Logistic Solutions,3-8 Yrs,"Palghat/ Palakkad, Kerala",2-4.5 Lacs PA,2-4.5 ,2,4.5 ,3.25,3-8 ,3,8 ,5.5
Data Insight Analyst,Marvel Placements,5-10 Yrs,"Noida, Uttar Pradesh",15-20 Lacs PA,15-20 ,15,20 ,17.5,5-10 ,5,10 ,7.5
Data Analyst,Chaayos,2-6 Yrs,"New Delhi, Delhi",3-4.5 Lacs PA,3-4.5 ,3,4.5 ,3.75,2-6 ,2,6 ,4.0
Technical Manager - Data Lake,Wolters Kluwer,12-18 Yrs,Hybrid - Pune(Yerwada),25-35 Lacs PA,25-35 ,25,35 ,30.0,12-18 ,12,18 ,15.0
Lead Data Engineer,Wipzo Systech,7-10 Yrs,"Hybrid - Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Delhi / NCR",27.5-35 Lacs PA,27.5-35 ,27.5,35 ,31.25,7-10 ,7,10 ,8.5
Lead Data Engineer,TransOrg,5-9 Yrs,"Gurgaon/ Gurugram, Haryana, Delhi / NCR, Mumbai (All Areas)",11-20 Lacs PA,11-20 ,11,20 ,15.5,5-9 ,5,9 ,7.0
Lead Data Engineer,Coditas Technologies,5-10 Yrs,Pune,8-18 Lacs PA,8-18 ,8,18 ,13.0,5-10 ,5,10 ,7.5
Sr. Data Engineer with Financial domain MNC,EDGE Executive,5-10 Yrs,"Hybrid - Hyderabad/Secunderabad, Ahmedabad, Gurgaon/Gurugram",10-20 Lacs PA,10-20 ,10,20 ,15.0,5-10 ,5,10 ,7.5
Senior GCP Data Engineer,Wipzo Systech,6-10 Yrs,"Pune, Gurgaon/Gurugram, Delhi / NCR",20-30 Lacs PA,20-30 ,20,30 ,25.0,6-10 ,6,10 ,8.0
Senior Data Engineer - Pune - Rudder Analytics,Rudder Analytics,3-6 Yrs,Temp. WFH - Pune,8-16 Lacs PA,8-16 ,8,16 ,12.0,3-6 ,3,6 ,4.5
Sr Data Engineer,Data Radian Technologies,5-10 Yrs,Remote,15-25 Lacs PA,15-25 ,15,25 ,20.0,5-10 ,5,10 ,7.5
Senior Data Engineer,Multi Recruit,5-10 Yrs,Hyderabad/Secunderabad,40-50 Lacs PA,40-50 ,40,50 ,45.0,5-10 ,5,10 ,7.5
Sr. Software Engineer (Data Engineer),Krazy Mantra,7-12 Yrs,Gurgaon/Gurugram,10-20 Lacs PA,10-20 ,10,20 ,15.0,7-12 ,7,12 ,9.5
Opening with Xoriant_ Data Engineering Analyst _Location Pune,Premium,7-12 Yrs,Hybrid - Pune(Baner),18-32.5 Lacs PA,18-32.5 ,18,32.5 ,25.25,7-12 ,7,12 ,9.5
Sr. Data Engineer,Excelra,6-11 Yrs,Remote,17-20 Lacs PA (Including Variable: 10.0%),17-20  ,17,20  ,18.5,6-11 ,6,11 ,8.5
Senior Data Engineer with ML,Multi Recruit,4-6 Yrs,Mumbai,16-18 Lacs PA,16-18 ,16,18 ,17.0,4-6 ,4,6 ,5.0
Senior Data Engineer,Multi Recruit,4-6 Yrs,Mumbai,15-20 Lacs PA,15-20 ,15,20 ,17.5,4-6 ,4,6 ,5.0
Senior Software Engineer(Data Engineer),Krazy Mantra,7-12 Yrs,Gurgaon/Gurugram,15-30 Lacs PA,15-30 ,15,30 ,22.5,7-12 ,7,12 ,9.5
"Data Engineer (Senior Profile), Location: (Kharadi) ,Pune",On Demand Agility Software,12-16 Yrs,Hybrid - Pune(Kharadi),40-60 Lacs PA,40-60 ,40,60 ,50.0,12-16 ,12,16 ,14.0
Azure Data Engineer,Experis,6-10 Yrs,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",7-12 Lacs PA,7-12 ,7,12 ,9.5,6-10 ,6,10 ,8.0
Azure Data Engineer,NR Consulting,5-8 Yrs,"Hybrid - Kochi/ Cochin, Kerala, Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Trivandrum/ Thiruvananthapuram, Kerala",15-22.5 Lacs PA,15-22.5 ,15,22.5 ,18.75,5-8 ,5,8 ,6.5
Data Engineer - One of the big chemical MNC company,Manpowergroup Services India,4-8 Yrs,"Chennai, Tamil Nadu",17-30 Lacs PA,17-30 ,17,30 ,23.5,4-8 ,4,8 ,6.0
Azure Data Engineer,Sightspectrum,5-10 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",15-22.5 Lacs PA,15-22.5 ,15,22.5 ,18.75,5-10 ,5,10 ,7.5
Exciting career opportunity with Neudesic For Azure Data Engineer,Neudesic Technologies,5-10 Yrs,"Hybrid - Kochi/Cochin, Ernakulam, Hyderabad/Secunderabad, Bangalore/Bengaluru",20-30 Lacs PA,20-30 ,20,30 ,25.0,5-10 ,5,10 ,7.5
Azure Data Engineer- Mega Drive- Bangalore- Top IT Company,Contactx Resource Management,4-9 Yrs,"Bangalore/ Bengaluru, Karnataka",16-30 Lacs PA,16-30 ,16,30 ,23.0,4-9 ,4,9 ,6.5
Data Plane Development Engineer (DPDK),Candid Recruitments,8-12 Yrs,"Hybrid - Gurgaon/Gurugram(Cyber City), Bangalore/Bengaluru",19-30 Lacs PA,19-30 ,19,30 ,24.5,8-12 ,8,12 ,10.0
Aws Data Engineer,Mresult Services,7-12 Yrs,Hybrid - Bangalore/Bengaluru,10-20 Lacs PA,10-20 ,10,20 ,15.0,7-12 ,7,12 ,9.5
Data Engineer,Aliqan Services,2-3 Yrs,Bangalore/Bengaluru,50000-1 Lacs PA,0.5-1 ,0.5,1 ,0.75,2-3 ,2,3 ,2.5
Data Engineer,Talent Corner HR Services Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,15-18 Lacs PA,15-18 ,15,18 ,16.5,5-8 ,5,8 ,6.5
DATA Engineer,Kukulkan Management Services,4-8 Yrs,"Chennai, Bangalore/Bengaluru",16-18 Lacs PA,16-18 ,16,18 ,17.0,4-8 ,4,8 ,6.0
"Data Engineer ETL, SQL, Python",Altvu,5-10 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",12-22 Lacs PA,12-22 ,12,22 ,17.0,5-10 ,5,10 ,7.5
Power BI Developer / Data-Engineer with ADF Premium - Permanent Remote,Excelvana,5-10 Yrs,"Hybrid - Thane, Maharashtra, Delhi / NCR, Mumbai (All Areas)",8-15 Lacs PA,8-15 ,8,15 ,11.5,5-10 ,5,10 ,7.5
Data Engineer Azure,Imaginators Try Going Beyond,5-10 Yrs,Bangalore/Bengaluru,9-17 Lacs PA,9-17 ,9,17 ,13.0,5-10 ,5,10 ,7.5
Data Engineer,fifthnote,3-5 Yrs,Remote,10-18 Lacs PA,10-18 ,10,18 ,14.0,3-5 ,3,5 ,4.0
Data Engineer,Erastar,5-9 Yrs,Noida,10-20 Lacs PA,10-20 ,10,20 ,15.0,5-9 ,5,9 ,7.0
Data Engineer,Manpowergroup Services India,4-9 Yrs,Chennai,10-15 Lacs PA,10-15 ,10,15 ,12.5,4-9 ,4,9 ,6.5
Solution Architect - DevOps | Data Engineer | Application,Support Star Corporate,10-15 Yrs,Pune,20-35 Lacs PA,20-35 ,20,35 ,27.5,10-15 ,10,15 ,12.5
Data Engineer,Parentpay Groups,7-10 Yrs,"Hybrid - Pune, Maharashtra",10-20 Lacs PA,10-20 ,10,20 ,15.0,7-10 ,7,10 ,8.5
Junior Data Warehouse Engineer,Boyd Thermal Systems India,7-12 Yrs,Chennai,7-15 Lacs PA,7-15 ,7,15 ,11.0,7-12 ,7,12 ,9.5
Senior Data Science Tester,Jet2 Travel Technologies,3-7 Yrs,Pune,12-20 Lacs PA,12-20 ,12,20 ,16.0,3-7 ,3,7 ,5.0
"Data Analyst For Corporate office, Noida",Spectrum Talent Management,1-3 Yrs,Noida(Sector-98 Noida),1.25-3.5 Lacs PA,1.25-3.5 ,1.25,3.5 ,2.375,1-3 ,1,3 ,2.0
Data Analyst - Alteryx,dotSolved India Pvt Ltd,7-12 Yrs,Remote,6-13 Lacs PA,6-13 ,6,13 ,9.5,7-12 ,7,12 ,9.5
Data Analyst (US Shift),Perficient,3-5 Yrs,Remote,8-17 Lacs PA,8-17 ,8,17 ,12.5,3-5 ,3,5 ,4.0
Data Analyst,Newpage Hr Solutions Llp,5-10 Yrs,"Gurgaon/ Gurugram, Haryana",20-30 Lacs PA,20-30 ,20,30 ,25.0,5-10 ,5,10 ,7.5
Data Analyst | Excel Expert| Night Shift| Gurgaon,Career Kendra,1-2 Yrs,Gurgaon/Gurugram(Udyog Vihar),4.25-4.75 Lacs PA,4.25-4.75 ,4.25,4.75 ,4.5,1-2 ,1,2 ,1.5
Data Analyst,Menko Online Trading,2-5 Yrs,Jaipur,2.75-5.5 Lacs PA,2.75-5.5 ,2.75,5.5 ,4.125,2-5 ,2,5 ,3.5
Required Female Data Analyst - Kolkata - Telecom Company,Excel Hr Services,2-7 Yrs,"Kolkata, West Bengal",9-11 Lacs PA,9-11 ,9,11 ,10.0,2-7 ,2,7 ,4.5
Data Analyst,Talent Sketchers,3-6 Yrs,"Navi Mumbai, Maharashtra",50000-3 Lacs PA,0.5-3 ,0.5,3 ,1.75,3-6 ,3,6 ,4.5
Data Analyst,Steerabidance,6-11 Yrs,"New Delhi, Delhi / NCR",6-16 Lacs PA,6-16 ,6,16 ,11.0,6-11 ,6,11 ,8.5
Opening For Data Analyst,Atrac Engineering,3-8 Yrs,"Mumbai(Bandra Kurla Complex), Mumbai Suburban, Mumbai (All Areas)",2.5-3.5 Lacs PA,2.5-3.5 ,2.5,3.5 ,3.0,3-8 ,3,8 ,5.5
Data Analyst,Independent Consultants,10-13 Yrs,Remote,14-16 Lacs PA,14-16 ,14,16 ,15.0,10-13 ,10,13 ,11.5
Import Data Analyst,H R Organo Chem (HROC),4-9 Yrs,"Thane, Navi Mumbai, Mumbai (All Areas)",3-6 Lacs PA,3-6 ,3,6 ,4.5,4-9 ,4,9 ,6.5
"Data Analyst, part time/ freelancer",Elite Wealth Advisors,3-5 Yrs,"Noida, Uttar Pradesh, Gurgaon/ Gurugram, Haryana, Delhi / NCR",2-7 Lacs PA,2-7 ,2,7 ,4.5,3-5 ,3,5 ,4.0
Data Analyst,Stratawiz Technologies Ltd,1-2 Yrs,Pune(Bavdhan),2-3 Lacs PA,2-3 ,2,3 ,2.5,1-2 ,1,2 ,1.5
Data Analyst- Inventory (Urgent),Jabsons Foods,1-3 Yrs,Bharuch,2-3 Lacs PA,2-3 ,2,3 ,2.5,1-3 ,1,3 ,2.0
Data Monitoring Analyst,Search Advisers Services Guj,2-4 Yrs,Gurgaon/Gurugram,3-8 Lacs PA,3-8 ,3,8 ,5.5,2-4 ,2,4 ,3.0
Hiring Alert! Data Science Solution Architect,Value Innovation,10-20 Yrs,"Hybrid - Noida, Uttar Pradesh, Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",35 Lacs PA,35 ,35 ,35 ,35 ,10-20 ,10,20 ,15.0
Big Data with Cloud,Coforge,4-9 Yrs,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Greater Noida",15-30 Lacs PA (Including Variable: 7.5%),15-30  ,15,30  ,22.5,4-9 ,4,9 ,6.5
Tcs Hiring For Big Data Developers _ PAN India..,Tata Consultancy Services (TCS),3-8 Yrs,"Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Chennai",3-7 Lacs PA,3-7 ,3,7 ,5.0,3-8 ,3,8 ,5.5
Lead Data engineer || Pune/Mumbai || Product based fortune 200 Org.,Bean Hr Consulting,9-13 Yrs,"Hybrid - Pune, Mumbai (All Areas)",25-35 Lacs PA,25-35 ,25,35 ,30.0,9-13 ,9,13 ,11.0
Lead Data Engineer,The Offer Story,8-13 Yrs,Pune,40-50 Lacs PA,40-50 ,40,50 ,45.0,8-13 ,8,13 ,10.5
Senior Data Engineer,Apidel Technologies,8-10 Yrs,"Gurgaon/ Gurugram, Haryana",11-16 Lacs PA,11-16 ,11,16 ,13.5,8-10 ,8,10 ,9.0
Sr Data Engineer,Link Talent Management Services,8-13 Yrs,Hybrid - Pune,15-30 Lacs PA,15-30 ,15,30 ,22.5,8-13 ,8,13 ,10.5
Senior Data Engineer (Talend),Boyen Haddin,4-8 Yrs,Remote,50000-2 Lacs PA,0.5-2 ,0.5,2 ,1.25,4-8 ,4,8 ,6.0
Software Engineer- Data Engineer,Evoke HR,3-8 Yrs,"Kolkata, Pune, Bangalore/Bengaluru",10-18 Lacs PA,10-18 ,10,18 ,14.0,3-8 ,3,8 ,5.5
Azure Data Engineer- Data Bricks or Data Factory,Mascot E-services,3-6 Yrs,"Mumbai, Maharashtra, Pune, Maharashtra, Chennai, Bangalore/ Bengaluru, Karnataka, Delhi / NCR",15-25 Lacs PA,15-25 ,15,25 ,20.0,3-6 ,3,6 ,4.5
Gcp Data Engineer,Tekskills India,4-9 Yrs,"Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Chennai, Bangalore/Bengaluru",15-20 Lacs PA,15-20 ,15,20 ,17.5,4-9 ,4,9 ,6.5
Gcp Data Engineer - Pune/Bangalore/Chennai/Noida/Hyderabad,UprightHC Solutions,4-8 Yrs,"Noida, Pune, Bangalore/Bengaluru",8-12 Lacs PA,8-12 ,8,12 ,10.0,4-8 ,4,8 ,6.0
"Python, AWS +Tableau (Data Engineer with Visualization)",Krazy Mantra,5-9 Yrs,"Pune, Bangalore/Bengaluru",15-25 Lacs PA,15-25 ,15,25 ,20.0,5-9 ,5,9 ,7.0
Big Data Engineer - SE/SSE/TL,Hissar IT,3-7 Yrs,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,3-7 ,3,7 ,5.0
Data Visualization Engineer @ Bangalore,Brainsearch Consulting,4-7 Yrs,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru(Nagavarapalya)",20-30 Lacs PA,20-30 ,20,30 ,25.0,4-7 ,4,7 ,5.5
"Azure Data Engineer (Databricks, Pyspark and Spark SQL, ETL exp. reqd)",Adecco Group,4-8 Yrs,"Hybrid - Pune, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,4-8 ,4,8 ,6.0
Azure Data Engineer,Vanshria Holdings And Ventures,5-10 Yrs,"Pune, Bangalore/Bengaluru",27.5-32.5 Lacs PA,27.5-32.5 ,27.5,32.5 ,30.0,5-10 ,5,10 ,7.5
Gcp Data Engineer,Infinityquest It Services,4-9 Yrs,"Temp. WFH - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",20-30 Lacs PA,20-30 ,20,30 ,25.0,4-9 ,4,9 ,6.5
Big Data Engineer - For MNC (Gurgaon,Industrial Personnel Network,3-7 Yrs,Gurgaon/Gurugram,14-24 Lacs PA,14-24 ,14,24 ,19.0,3-7 ,3,7 ,5.0
Azure Data Engineering (Azure),Krazy Mantra,4-9 Yrs,Bangalore/Bengaluru,12-22 Lacs PA,12-22 ,12,22 ,17.0,4-9 ,4,9 ,6.5
AWS Data Engineer (Bangalore),Krazy Mantra,5-10 Yrs,Bangalore/Bengaluru,15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Big Data Engineer,We Remote Devs Pvt Ltd.,5-8 Yrs,"Hybrid - Kolkata, Gurgaon/ Gurugram, Haryana",30-40 Lacs PA,30-40 ,30,40 ,35.0,5-8 ,5,8 ,6.5
Azure Data Engineer,Kiash Solution Llp,3-8 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",20-27.5 Lacs PA,20-27.5 ,20,27.5 ,23.75,3-8 ,3,8 ,5.5
Azure Data Engineer,NR Consulting,5-8 Yrs,Bangalore/Bengaluru,9-12 Lacs PA,9-12 ,9,12 ,10.5,5-8 ,5,8 ,6.5
Data Engineer( Azure & Snowflake),Thakral One,4-9 Yrs,Hybrid - Bangalore/Bengaluru,10-20 Lacs PA,10-20 ,10,20 ,15.0,4-9 ,4,9 ,6.5
Azure Data Engineer,Happiest Minds Technologies,6-11 Yrs,Bangalore Rural,15-30 Lacs PA,15-30 ,15,30 ,22.5,6-11 ,6,11 ,8.5
Data Engineer,Gpmbs Advisory Services,6-8 Yrs,Remote,1.5-1.75 Lacs PA,1.5-1.75 ,1.5,1.75 ,1.625,6-8 ,6,8 ,7.0
Data Engineer,Beesolver Technology,2-6 Yrs,"Mohali, Punjab",4-9 Lacs PA,4-9 ,4,9 ,6.5,2-6 ,2,6 ,4.0
Data Engineer,fifthnote,3-5 Yrs,Remote,10-18 Lacs PA,10-18 ,10,18 ,14.0,3-5 ,3,5 ,4.0
"Data Engineer, Mumbai (R programing and VBA)",Argus India Price Reporting Services,1-5 Yrs,Hybrid - Mumbai,2-7 Lacs PA,2-7 ,2,7 ,4.5,1-5 ,1,5 ,3.0
Snowflake Data Engineer,Suneratech,6-9 Yrs,Hyderabad/Secunderabad,15-25 Lacs PA,15-25 ,15,25 ,20.0,6-9 ,6,9 ,7.5
Hiring For Principal Data Engineer-Kolkata,Samridhi,10-15 Yrs,"Bhubaneswar, Odisha, Kolkata, West Bengal",15-25 Lacs PA,15-25 ,15,25 ,20.0,10-15 ,10,15 ,12.5
Hiring For Principal Data Engineer-Kolkata,Samridhi,10-15 Yrs,"Bhubaneswar, Odisha, Kolkata, West Bengal",15-25 Lacs PA,15-25 ,15,25 ,20.0,10-15 ,10,15 ,12.5
Azure Data Engineer - Hyderabad,Softobiz,5-10 Yrs,Hyderabad/Secunderabad,15-25 Lacs PA,15-25 ,15,25 ,20.0,5-10 ,5,10 ,7.5
Data Engineer SAP BODS,Vacancieshub Hrm Solutions,4-9 Yrs,"Kochi/Cochin, Ernakulam",8-18 Lacs PA,8-18 ,8,18 ,13.0,4-9 ,4,9 ,6.5
"Cloud Data Engineer opening For a Product Organisation, Kolkara",Arminus Software,5-8 Yrs,Hybrid - Kolkata,10-20 Lacs PA,10-20 ,10,20 ,15.0,5-8 ,5,8 ,6.5
Data Engineer,NRS Software Global,3-5 Yrs,Remote,8.5-15 Lacs PA,8.5-15 ,8.5,15 ,11.75,3-5 ,3,5 ,4.0
Data Engineer (Matilion),Resourcemojo,3-7 Yrs,Remote,12-15 Lacs PA,12-15 ,12,15 ,13.5,3-7 ,3,7 ,5.0
Digital Data Products Opertatons Analyst,ATS,3-8 Yrs,Remote,10-20 Lacs PA,10-20 ,10,20 ,15.0,3-8 ,3,8 ,5.5
Data Analyst,Husk Power Systems,4-6 Yrs,Patna,5-6 Lacs PA,5-6 ,5,6 ,5.5,4-6 ,4,6 ,5.0
Opening For Data Analyst / Python Developer,D2K Technologies,1-3 Yrs,Navi Mumbai,3-8 Lacs PA,3-8 ,3,8 ,5.5,1-3 ,1,3 ,2.0
Data Analyst,Genesis Hr Services,3-8 Yrs,Hybrid - Mumbai,6-12 Lacs PA,6-12 ,6,12 ,9.0,3-8 ,3,8 ,5.5
Data Analyst,Keyur Kitchenware,3-7 Yrs,Vasai,3-4 Lacs PA,3-4 ,3,4 ,3.5,3-7 ,3,7 ,5.0
Data Analyst,GSA Industries Patiala,1-3 Yrs,Patiala,2-3 Lacs PA,2-3 ,2,3 ,2.5,1-3 ,1,3 ,2.0
Data Analyst-Chennai-WFO,Skilfil Consultants,5-10 Yrs,Hybrid - Chennai,12-20 Lacs PA,12-20 ,12,20 ,16.0,5-10 ,5,10 ,7.5
Data Analyst,Bloom Talents,1-6 Yrs,Delhi / NCR,3-5 Lacs PA,3-5 ,3,5 ,4.0,1-6 ,1,6 ,3.5
Hiring Data Analyst in Gems & Jewellery Industry,Venus Consultancy,2-5 Yrs,Surat,4-8 Lacs PA,4-8 ,4,8 ,6.0,2-5 ,2,5 ,3.5
Data Science,Tech Mahindra,6-10 Yrs,Pune,15-25 Lacs PA,15-25 ,15,25 ,20.0,6-10 ,6,10 ,8.0
Big Data Engineers_HCL_5+ years_Noida & Hyd,HCLTech,5-10 Yrs,"Noida, Hyderabad/Secunderabad",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Hexaware Hiring_ Data Integration Lead_ Chennai,Hexaware Technologies,9-12 Yrs,Hybrid - Chennai,18-30 Lacs PA,18-30 ,18,30 ,24.0,9-12 ,9,12 ,10.5
Lead Data Engineer,Link Talent Management Services,12-16 Yrs,Temp. WFH - Pune,25-40 Lacs PA,25-40 ,25,40 ,32.5,12-16 ,12,16 ,14.0
Lead Data Engineer,Boyen Haddin,8-12 Yrs,Remote,50000-2 Lacs PA,0.5-2 ,0.5,2 ,1.25,8-12 ,8,12 ,10.0
Data Engineer - Informatica /Dot Net/ Python /SQL,Sriyam Consultants,3-8 Yrs,"Pune, Maharashtra, Chennai, Bangalore/Bengaluru",9-19 Lacs PA,9-19 ,9,19 ,14.0,3-8 ,3,8 ,5.5
Immediate AWS Data Engineer openings with MNC's,Future Focus Infotech,4-9 Yrs,"Kolkata, Mumbai, New Delhi, Pune, Gurgaon/Gurugram",5-14 Lacs PA,5-14 ,5,14 ,9.5,4-9 ,4,9 ,6.5
AWS Developer (Data Engineer),Kiash Solution Llp,2-7 Yrs,"Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",20-25 Lacs PA,20-25 ,20,25 ,22.5,2-7 ,2,7 ,4.5
Data Engineering Lead_ Core Java/ SQL_ multinational investment Bank,Seven Consultancy,15-20 Yrs,Remote,45-60 Lacs PA,45-60 ,45,60 ,52.5,15-20 ,15,20 ,17.5
Hiring Fo Experienced SW Engineer/ Data Engg/ML Engg/DevOps No Fresher,Shreyan It Solutions,2-6 Yrs,"Hybrid - Hyderabad/Secunderabad(Gachibowli), Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",3-6 Lacs PA,3-6 ,3,6 ,4.5,2-6 ,2,6 ,4.0
Azure Data Engineer,Altvu,5-10 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Gcp Data Engineer,Altvu,5-10 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Data Engineer,Newpage Hr Solutions Llp,5-10 Yrs,"Gurgaon/ Gurugram, Haryana",15-30 Lacs PA,15-30 ,15,30 ,22.5,5-10 ,5,10 ,7.5
Urgently looking For Data Engineer one of MNC at Gurgaon,Stap Management Consultants,3-8 Yrs,"Gurgaon/ Gurugram, Haryana, Delhi / NCR",8-12 Lacs PA,8-12 ,8,12 ,10.0,3-8 ,3,8 ,5.5
Hiring For Data Engineer For Solutions and Data Engineering Team,mphrX,2-5 Yrs,Gurgaon/Gurugram,7-14 Lacs PA,7-14 ,7,14 ,10.5,2-5 ,2,5 ,3.5
Data Engineer urgent opening Mumbai Location,Manek Consulting,1-6 Yrs,"Navi Mumbai, Pune, Mumbai (All Areas)",5-15 Lacs PA,5-15 ,5,15 ,10.0,1-6 ,1,6 ,3.5
Data Engineer,Fifthgen Tech Solution,5-9 Yrs,"Pune, Maharashtra",3.25-8 Lacs PA,3.25-8 ,3.25,8 ,5.625,5-9 ,5,9 ,7.0
Urgent Opening For Data Engineer For CMM Level 5 Company,Premium,1-4 Yrs,Hybrid - Mumbai,6-15 Lacs PA,6-15 ,6,15 ,10.5,1-4 ,1,4 ,2.5
Data Engineer,Staffbee Solutions Inc,6-11 Yrs,Remote,10-15 Lacs PA,10-15 ,10,15 ,12.5,6-11 ,6,11 ,8.5
Data Engineers (SQL/ GCP / DBT / Streaming Data / DevOps),Sriyam Consultants,5-9 Yrs,"Hyderabad/ Secunderabad, Telangana, Chennai, Bangalore/Bengaluru",10-20 Lacs PA,10-20 ,10,20 ,15.0,5-9 ,5,9 ,7.0
Big Data Engineer,Imcs Tech (p) Ltd,5-8 Yrs,Chennai,10-16 Lacs PA,10-16 ,10,16 ,13.0,5-8 ,5,8 ,6.5
Data Engineer,Niveus Solution,3-7 Yrs,"Hybrid - Mangaluru/Mangalore, Udupi",6-16 Lacs PA,6-16 ,6,16 ,11.0,3-7 ,3,7 ,5.0
Data Engineer,Neyvin Technologies (opc),3-8 Yrs,Hyderabad/Secunderabad,15-25 Lacs PA,15-25 ,15,25 ,20.0,3-8 ,3,8 ,5.5
Data Engineer,Freelancer Murali Mohan Kanupuri,1-5 Yrs,Hyderabad/Secunderabad,5-8 Lacs PA,5-8 ,5,8 ,6.5,1-5 ,1,5 ,3.0
Data (AWS) Engineer,Kiash Solution Llp,4-9 Yrs,Remote,20-30 Lacs PA,20-30 ,20,30 ,25.0,4-9 ,4,9 ,6.5
Aws Data Engineer,Manpowergroup Services India,4-6 Yrs,Remote,20-22.5 Lacs PA,20-22.5 ,20,22.5 ,21.25,4-6 ,4,6 ,5.0
Gcp Data Engineer,Artech,3-8 Yrs,Hybrid - Chennai,8-18 Lacs PA,8-18 ,8,18 ,13.0,3-8 ,3,8 ,5.5
Data Engineer,Multi Recruit,2-4 Yrs,Thane,10-16 Lacs PA,10-16 ,10,16 ,13.0,2-4 ,2,4 ,3.0
Data Engineer,Vaco Enterprise Llp,3-7 Yrs,Hybrid - Hyderabad/Secunderabad,4-7 Lacs PA,4-7 ,4,7 ,5.5,3-7 ,3,7 ,5.0
Azure data engineer with ML and AI experience,Callesto,5-7 Yrs,Remote,10-20 Lacs PA,10-20 ,10,20 ,15.0,5-7 ,5,7 ,6.0
Azure Data Engineer - US MNC (analytics),Aspyra Hr Services,3-7 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana",15-25 Lacs PA,15-25 ,15,25 ,20.0,3-7 ,3,7 ,5.0
Data Engineering Specialist,GUVI Geek Network Pvt Ltd,1-3 Yrs,"Hybrid - Chennai, Tamil Nadu",4-6 Lacs PA,4-6 ,4,6 ,5.0,1-3 ,1,3 ,2.0
Azure Data Engineer,ACI Global Business Services,5-10 Yrs,Remote,5-15 Lacs PA,5-15 ,5,15 ,10.0,5-10 ,5,10 ,7.5
Data Science Lead,RK Hr Management,10-15 Yrs,Ahmedabad,30-35 Lacs PA,30-35 ,30,35 ,32.5,10-15 ,10,15 ,12.5
Data Analyst/ SQL Developer,NRV Designx,1-5 Yrs,"New Delhi, Delhi, Delhi / NCR",3-8 Lacs PA,3-8 ,3,8 ,5.5,1-5 ,1,5 ,3.0
"Associate Trainer/Lab Coordinator - DevOps, AWS, Data Engineering, DS",Freelancer Murali Mohan Kanupuri,2-5 Yrs,Hyderabad/Secunderabad,3.5-5 Lacs PA,3.5-5 ,3.5,5 ,4.25,2-5 ,2,5 ,3.5
Informatica Data Integration Support,Evoke HR,7-10 Yrs,"Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",15-30 Lacs PA,15-30 ,15,30 ,22.5,7-10 ,7,10 ,8.5
ETL Azure Data Bricks,Evoke HR,6-11 Yrs,"Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",15-30 Lacs PA,15-30 ,15,30 ,22.5,6-11 ,6,11 ,8.5
AWS Data Engineer,DataBuzz Ltd,12-22 Yrs,Hyderabad/Secunderabad,32.5-47.5 Lacs PA,32.5-47.5 ,32.5,47.5 ,40.0,12-22 ,12,22 ,17.0
