Job title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
data engineer,Team Plus Staffing Solution,3-8 Yrs,hyderabad,12-20 Lacs PA,12-20 ,12.0,20.0,16.0,3-8 ,3,8,5.5
data engineer,Cognizant,9-12 Yrs,Bangalore,13-23 Lacs PA,13-23 ,13.0,23.0,18.0,9-12 ,9,12,10.5
data engineer,Virtual Caliber,5-10 Yrs,Bangalore,1-6 Lacs PA,1-6 ,1.0,6.0,3.5,5-10 ,5,10,7.5
data engineer,ITC Infotech,5-9 Yrs,Bangalore,12-18 Lacs PA,12-18 ,12.0,18.0,15.0,5-9 ,5,9,7.0
data engineer,Tech Mahindra,5-10 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,5-10 ,5,10,7.5
data engineer,Nexplace Info,4-8 Yrs,Bangalore,50000-2.25 Lacs PA,0.5-2.25 ,0.5,2.25,1.375,4-8 ,4,8,6.0
ML Engineer,Gibraltar Technologies Llc,8-10 Yrs,Bangalore,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,8-10 ,8,10,9.0
Data Scientist,Indiaexcite It Solutions,5-9 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,5-9 ,5,9,7.0
data engineer,PBI Analytics,0-1 Yrs,remote,1.5-2 Lacs PA,1.5-2 ,1.5,2.0,1.75,0-1 ,0,1,0.5
ML Engineer,Advance Career Solutions,6-10 Yrs,Bangalore,8.5-18.5 Lacs PA,8.5-18.5 ,8.5,18.5,13.5,6-10 ,6,10,8.0
data engineer,Excel Talent Plus,5-10 Yrs,hyderabad,10-18 Lacs PA,10-18 ,10.0,18.0,14.0,5-10 ,5,10,7.5
Data Analyst,Vuca Consulting,5-10 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,5-10 ,5,10,7.5
Data Analyst,Shadowfax Technologies,2-5 Yrs,Bangalore,4-6 Lacs PA,4-6 ,4.0,6.0,5.0,2-5 ,2,5,3.5
data engineer,EDGE Executive,5-9 Yrs,hyderabad,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,5-9 ,5,9,7.0
data engineer,Krazy Mantra,7-12 Yrs,remote,30-40 Lacs PA,30-40 ,30.0,40.0,35.0,7-12 ,7,12,9.5
data engineer,HR Central,7-12 Yrs,Bangalore,18-30 Lacs PA,18-30 ,18.0,30.0,24.0,7-12 ,7,12,9.5
data engineer,Imaginators Try Going Beyond,5-10 Yrs,Bangalore,9.5-19.5 Lacs PA,9.5-19.5 ,9.5,19.5,14.5,5-10 ,5,10,7.5
data engineer,Green Start,10-20 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,10-20 ,10,20,15.0
data engineer,Info Edge,3-6 Yrs,Uttar pradesh,20-35 Lacs PA,20-35 ,20.0,35.0,27.5,3-6 ,3,6,4.5
data engineer,Exponentia Datalabs,4-6 Yrs,Bangalore,12-16 Lacs PA,12-16 ,12.0,16.0,14.0,4-6 ,4,6,5.0
data engineer,Hissar IT,3-8 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,3-8 ,3,8,5.5
data engineer,Aanseaa Technologies,6-10 Yrs,Bangalore,15-25 Lacs PA,15-25 ,15.0,25.0,20.0,6-10 ,6,10,8.0
data engineer,Staffspectrum Services,7-12 Yrs,Bangalore,40-45 Lacs PA,40-45 ,40.0,45.0,42.5,7-12 ,7,12,9.5
data engineer,Symphoni Hr,5-10 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,5-10 ,5,10,7.5
data engineer,Multi Recruit,5-9 Yrs,Bangalore,30-35 Lacs PA,30-35 ,30.0,35.0,32.5,5-9 ,5,9,7.0
