Title,Company,Location,Salary
Data Scientist,Aidetic Software Pvt Ltd,Bengaluru,₹8L - ₹15L (Employer Est.)
Assistant Manager - Data Scientist,Genpact,Bengaluru,₹6L - ₹9L (Glassdoor Est.)
Data Scientist,Code Craft Technologies,Bengaluru,₹6L - ₹9L (Glassdoor Est.)
DATA SCIENTIST,Tech27 Systems Ltd.,Calicut,₹4L - ₹10L (Glassdoor Est.)
Data Scientist (Large Private Bank),RiverForest Connections Private Limited,Bengaluru,₹4L - ₹9L (Glassdoor Est.)
"Tech Lead - NLP, Conversational AI",Reverie Language Technologies,Bengaluru,₹7L - ₹10L (Glassdoor Est.)
Data Scientist,Avantao Technologies pvt ltd,Hyderābād,₹8L - ₹13L (Employer Est.)
Data and Analytics Engineer,Mercedes-Benz Research and Development India Private Limited,Bengaluru,₹7L - ₹10L (Glassdoor Est.)
Analytics – Data Science – Manager/Sr. Manager,Deloitte,Bengaluru,₹4L - ₹10L (Glassdoor Est.)
Data Scientist,PepsiCo,Hyderābād,₹8L - ₹9L (Glassdoor Est.)
Feasibility Data Scientist,ICON,Bengaluru,₹5L - ₹8L (Glassdoor Est.)
python data science internship,Orion Club,Eranakulam,₹5T (Employer Est.)
AI/ML Engineer,Genrobotic Innovations,Thiruvananthapuram,₹25T - ₹40T (Employer Est.)
Associate Data Scientist I,UST,Thiruvananthapuram,₹4L (Glassdoor Est.)
Data Scientist,Caterpillar,Chennai,₹7L - ₹9L (Glassdoor Est.)
AI/ML ENGINEER,Zcientia Labs Pvt Ltd,Bengaluru,₹15L (Employer Est.)
Analytics – Data Science – Manager/Sr. Manager,Deloitte,Bengaluru,₹4L - ₹10L (Glassdoor Est.)
python data science internship,Orion Club,Eranakulam,₹5T (Employer Est.)
Associate Data Scientist I,UST,Thiruvananthapuram,₹4L (Glassdoor Est.)
Data Science Trainer,Meraki Training Solutions,Bengaluru,"₹980.77 - ₹1,153.85 Per hour (Employer Est.)"
Applied AI ML Lead - Lead Data Scientist,"JPMorgan Chase Bank, N.A.",Bengaluru,₹1L - ₹3L (Glassdoor Est.)
Data scientist/Sr. Data Scientist (Job Code - KR4),Credit Saison,Bengaluru,₹2L - ₹7L (Glassdoor Est.)
Data Scientist,GSN Solutions LLC (Pyx Tech Pvt Ltd),Pune,₹15L - ₹25L (Employer Est.)
Data Science,Actyv.ai,Bengaluru,₹5L - ₹9L (Glassdoor Est.)
Data Scientist – (LLM/GPT),AIMLEAP,Bengaluru,₹20L - ₹30L (Employer Est.)
Data Scientist,Shell,Bengaluru,₹8L - ₹9L (Glassdoor Est.)
Data Scientist,Magna International Inc.,Bengaluru,₹7L - ₹10L (Glassdoor Est.)
"Associate, Data Scientist, Consumer Banking & Core Engine",DBS Bank,Hyderābād,₹3L - ₹9L (Glassdoor Est.)
Data Science Intern,Domains Analytics,Chandigarh,₹8T - ₹23T (Employer Est.)
Data Science,Larsen & Toubro Limited,Chennai,₹3L - ₹8L (Glassdoor Est.)
Machine Learning Internship,Suvidha Shiksha,Bengaluru,₹2T (Employer Est.)
Data Science And Python Developer,Guires Solutions Private Limited,Chennai,₹3L - ₹5L (Employer Est.)
Data Analyst,Waybeo Technology Solutions,Thiruvananthapuram,₹3L - ₹4L (Employer Est.)
Data Scientist,Luxoft,Bengaluru,₹7L - ₹9L (Glassdoor Est.)
Data Scientist,GeniusMesh,Jammu,₹5L - ₹10L (Employer Est.)
Analytics – Data Science – Manager/Sr. Manager,Deloitte,Bengaluru,₹4L - ₹10L (Glassdoor Est.)
"Associate, Data Scientist, Consumer Banking & Core Engine",DBS Bank,Hyderābād,₹3L - ₹9L (Glassdoor Est.)
Machine Learning Internship,Suvidha Shiksha,Bengaluru,₹2T (Employer Est.)
Data Science Trainer,Meraki Training Solutions,Bengaluru,"₹980.77 - ₹1,153.85 Per hour (Employer Est.)"
Data Scientist,Magna International Inc.,Bengaluru,₹7L - ₹10L (Glassdoor Est.)
Data Science,Larsen & Toubro Limited,Chennai,₹3L - ₹8L (Glassdoor Est.)
Data Scientist,GSN Solutions LLC (Pyx Tech Pvt Ltd),Pune,₹15L - ₹25L (Employer Est.)
"Senior Associate, Data Scientist, Consumer Banking & Core Engine",DBS Bank,Hyderābād,₹3L - ₹9L (Glassdoor Est.)
Machine Learning Intern,Suvidha Foundation,Bengaluru,₹1T - ₹2T (Employer Est.)
Data Scientist-Digital Banking Kotak 811-Regional Sales,Kotak Mahindra,Bengaluru,₹7L - ₹9L (Glassdoor Est.)
