Title,Company,Experience,Location,Salary
Data Scientist,DataBuzz Ltd,4-9 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist,T Systems,3-8 Yrs,"Pune, Maharashtra",Not disclosed
Data Scientist,World Wide Technology,2-4 Yrs,"Hybrid - Gurgaon/ Gurugram, Haryana",Not disclosed
Data Scientist,Genzeon Corporation,8-12 Yrs,Pune,Not disclosed
Data Scientist,Axis Asset Management Company Limited,12-18 Yrs,Mumbai,Not disclosed
Data Scientist - Computer Vision & NLP- Blackstraw.ai- Chennai,Blackstraw Technologies,3-8 Yrs,"Chennai, Tamil Nadu",Not disclosed
AI Data Scientist - Remote / Work from Home,ADROITENT,8-13 Yrs,Remote,Not disclosed
AWS Data Scientist - Remote - 30 Lakhs,DataBuzz Ltd,4-9 Yrs,Hyderabad/Secunderabad,20-35 Lacs PA
Data Scientist,Ignitho,3-7 Yrs,Chennai,Not disclosed
Ezeiatech Systems - Data Scientist - Python/Machine Learning,EzeiaTech,2-4 Yrs,Gurgaon/Gurugram,Not disclosed
Data Scientist - Machine Learning/APICS,CARBYNETECH,3-8 Yrs,Hyderabad/Secunderabad,Not disclosed
CarbyneTech - Data Scientist - Machine Learning/Python,CARBYNETECH,3-8 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist - Azure Data Factory/NLP Pipeline,CARBYNETECH,2-7 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist - Machine/deep Learning Algorithms,CARBYNETECH,3-8 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist - Azure Data Factory/NLP Pipeline,CARBYNETECH,2-7 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist - Image Processing/ Machine Learning,CARBYNETECH,6-11 Yrs,Hyderabad/Secunderabad,Not disclosed
Data Scientist,Ignitho,5-10 Yrs,"Chennai, Tamil Nadu",Not disclosed
Data Scientist,Accelya,3-5 Yrs,"Hybrid - Pune, Maharashtra",Not disclosed
Data Scientist,L4B Software,4-5 Yrs,Pune,Not disclosed
Data Scientist,Intellimation.ai,1-6 Yrs,Mumbai,Not disclosed
DATA Scientist - Gurgaon MNC,Advance Talent Services,6-10 Yrs,"Noida, Gurgaon/Gurugram, Delhi / NCR",Not disclosed
Azure Data Scientist || UK MNC - IT Industry,Jinisha Janardanan Nair,5-10 Yrs,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra",Not disclosed
Data Scientist - Sas/r/matlab,Talent Acceleration Corridor,3-6 Yrs,"Gurgaon/Gurugram, Delhi / NCR",Not disclosed
Data scientist - Gurgaon - Python / Machine Learning (BIG DATA),Industrial Personnel Network,3-7 Yrs,Gurgaon/Gurugram,14-24 Lacs PA
Data Scientist,HR Central,3-8 Yrs,Pune,Not disclosed
Data Scientist,Adler Talent Solutions,2-4 Yrs,"Ahmedabad, Gujarat",6-8 Lacs PA
Hiring For Data Scientist and Data Engineer For Gurgaon Location,Shadow Placements,5-10 Yrs,"Noida, Gurgaon/Gurugram, Delhi / NCR",7-14 Lacs PA
Data Scientists and ML Engineer,Tata Elxsi,10-20 Yrs,Calicut/Kozhikode,Not disclosed
Data Scientist/ Data Engineer,Ayura Infotech,2-4 Yrs,New Delhi,Not disclosed
Data Scientist / Analyst,Open Data Fabric,4-9 Yrs,Bangalore/Bengaluru,Not disclosed
Forecasting Analyst / Data Scientist,Locus It Services,2-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,RK Hr Management,2-7 Yrs,Ahmedabad,13-22.5 Lacs PA
"Data Scientist - R, Python, SQL, statistical and data mining technique",Mindstech Recruitment,3-5 Yrs,"Gurgaon/ Gurugram, Haryana",Not disclosed
Data Scientist Goregaon Mumbai Candidates preferred immediate joiners,Quick Manpower Solutions India,3-8 Yrs,"Mumbai, Maharashtra",15-30 Lacs PA
Data Scientist,Akaike Technologies,0-6 Yrs,Bangalore/Bengaluru,Not disclosed
data scientist,Global Talent Pool,0-2 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist Knowledge Graph,Capco,7-12 Yrs,"Hybrid - Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Not disclosed
Data Scientist,Quality Engineering Software Technologies Pvt. Ltd.,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist || Immediate Joiners Only,Sun Life,6-10 Yrs,"Bangalore/ Bengaluru, Karnataka",Not disclosed
Data Scientist,Infosys,3-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,IQVIA,5-8 Yrs,Hybrid - Bangalore/Bengaluru(Marathahalli),Not disclosed
Permanent Opportunity For Data scientist with AWS,Deloitte,3-8 Yrs,"Hybrid - Chennai, Coimbatore, Bangalore/Bengaluru, Hyderabad",13-23 Lacs PA
Data Scientist,Blackbuck,3-7 Yrs,"Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed
Data Scientist with CPG Domain Experience,Tech Mahindra,7-12 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",30 Lacs PA
FTE - Regional BI - Data Scientist,Schneider Electric,3-5 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Sony Corporation Of America,3-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Pacific Placements &amp;amp; Consultancy,0-2 Yrs,Kolhapur,Not disclosed
Data Scientist,Accolite Software India Pvt Ltd,3-6 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed
Feasibility Data Scientist,ICON plc,3-7 Yrs,"Chennai, Bangalore/Bengaluru",Not disclosed
Data Scientist,Juniper Networks,6-10 Yrs,Bangalore/Bengaluru,Not disclosed
ML Engineer/ Data Scientist Lead En...,Anicalls,5-8 Yrs,Mumbai,Not disclosed
Machine Learning Engineer / Data Scientist,Neumile Iot,2-4 Yrs,Hybrid - Bangalore/Bengaluru,4.5-5.5 Lacs PA
Data Scientist/Engineer NLP,Skillety,4-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist - Leading Established Ed-Tech Venture @ Noida,Brainsearch Consulting,3-7 Yrs,"Noida, Ghaziabad, Delhi / NCR",14-20 Lacs PA
"Sr. Data Scientist (Machine learning, Azure ML)",Emids,7-12 Yrs,Bangalore/Bengaluru,Not disclosed
"Sr. Data Scientist (Machine learning, Azure ML)",Quovantis,7-12 Yrs,Bangalore/Bengaluru,Not disclosed
Sr. Data Scientist (Medical/Marketing Analytics),Skillety,8-11 Yrs,Bangalore/Bengaluru,Not disclosed
Sr. Data Scientist - Marketing and Customer analytics,Skillety,7-15 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Newpage Hr Solutions Llp,4-9 Yrs,"Bangalore/ Bengaluru, Karnataka",8-12 Lacs PA
Data Scientist - Bangalore,On Time Solutions,10-15 Yrs,Hybrid - Bangalore/Bengaluru,Not disclosed
Data Scientist - (Gaming),Brainsearch Consulting,2-6 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",10-20 Lacs PA
Data Scientist,Infogain,3-6 Yrs,"Hybrid - Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Not disclosed
Data Scientist,SLK Software,3-6 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Pega,6-11 Yrs,Bengaluru,Not disclosed
Data Scientist,Cyient,4-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Wakefit Innovations,3-7 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist - Ads Product,Truecaller,1-4 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist,Cyient,4-8 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist / ML Engineer - US MNC,Aspyra Hr Services,3-8 Yrs,"Temp. WFH - Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",15-30 Lacs PA
Lead Data Scientist : Marketing and Customer analytics,Skillety,8-10 Yrs,"Noida, Bhubaneswar, Pune, Bangalore/Bengaluru",Not disclosed
Data Scientist Lead - AI/ML,Talent Socio,7-12 Yrs,Bangalore/Bengaluru,Not disclosed
Data Scientist and Analyst,Diverse Lynx,2-6 Yrs,Pune,Not disclosed
